panel,row,column,assets,factors,red,green,blue
4,15,3,850,4,57,118,191
4,15,4,850,5,58,90,175
4,15,5,850,6,55,87,174
4,15,6,850,7,61,133,200
4,15,7,850,8,63,137,202
4,15,8,850,9,62,140,203
4,15,9,850,10,107,198,111
4,15,10,850,11,102,197,113
4,16,0,900,1,58,125,195
4,16,1,900,2,58,196,193
4,16,2,900,3,57,122,194
4,16,3,900,4,57,114,189
4,16,4,900,5,55,87,174
4,16,5,900,6,55,85,173
4,16,6,900,7,58,119,191
4,16,7,900,8,59,128,196
4,16,8,900,9,59,128,196
4,16,9,900,10,84,195,134
4,16,10,900,11,83,196,140
4,17,0,950,1,59,124,194
4,17,1,950,2,58,196,191
4,17,2,950,3,59,124,194
4,17,3,950,4,57,118,191
4,17,4,950,5,58,90,175
4,17,5,950,6,55,85,173
4,17,6,950,7,58,112,188
4,17,7,950,8,57,114,189
4,17,8,950,9,59,124,194
4,17,9,950,10,83,196,140
4,17,10,950,11,93,197,126
5,0,0,100,1,59,124,194
5,0,1,100,2,130,201,90
5,0,2,100,3,108,198,109
5,0,3,100,4,255,206,70
5,0,4,100,5,255,110,41
5,0,5,100,6,248,229,74
5,0,6,100,7,253,222,69
5,0,7,100,8,252,221,70
5,0,8,100,9,255,196,71
5,0,9,100,10,255,198,71
5,0,10,100,11,255,192,70
5,1,0,150,1,58,112,188
